%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, 2145.4889770303853, 245.32621739339083, 982.237974612508, 2466.6977645247243, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950723324594E9, 0.0, 2021-12-02 19:31:12.332
1.0, 2114.6123629962094, 223.91529014706612, 964.0583209278993, 2439.4525933475234, 0.0, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950723458426E9, 0.0, 2021-12-02 19:31:12.345
1.0, 2103.6993349255063, 242.88406272232533, 976.4822685807012, 2463.515109662432, 0.0, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950723458426E9, 0.0, 2021-12-02 19:31:12.345
2.0, 2057.062782478053, 243.4824467152357, 971.1454313439317, 2470.1347325840034, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950723625717E9, 0.0, 2021-12-02 19:31:12.362
2.0, 2027.697088025976, 246.18265448324382, 986.1835690657608, 2472.490869556088, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950723625717E9, 0.0, 2021-12-02 19:31:12.362
3.0, 1996.5250218953006, 244.86620969884098, 983.8685709931888, 2478.837479780894, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072363339E9, 0.0, 2021-12-02 19:31:12.363
3.0, 1950.9206818356179, 247.25974567048252, 982.1070781140588, 2477.1133859013207, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072363339E9, 0.0, 2021-12-02 19:31:12.363
4.0, 1912.0631212959997, 251.28013812284917, 997.5491250311024, 2479.7350557702594, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950723756187E9, 0.0, 2021-12-02 19:31:12.375
4.0, 1879.3090774840675, 257.8623620448634, 1003.439467461314, 2499.5004270360805, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950723756187E9, 0.0, 2021-12-02 19:31:12.375
5.0, 1825.1927251252346, 238.72903387155384, 979.354511746671, 2491.9981877249666, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072391657E9, 0.0, 2021-12-02 19:31:12.391
5.0, 1773.122098042164, 260.9365598084405, 1013.6456544403918, 2507.8254443374462, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072391657E9, 0.0, 2021-12-02 19:31:12.391
6.0, 1737.338735266123, 254.7844243813306, 994.1233766716905, 2515.376302347984, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072406331E9, 0.0, 2021-12-02 19:31:12.406
6.0, 1669.9120789649896, 265.3795609558001, 995.3687633569352, 2496.4224893725477, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072406331E9, 0.0, 2021-12-02 19:31:12.406
7.0, 1649.3127100090496, 279.29198879096657, 1004.8494097446091, 2502.690561698284, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072407008E9, 0.0, 2021-12-02 19:31:12.407
7.0, 1638.5941567360424, 295.8148667952046, 1031.7392904260196, 2530.3284223708324, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072407008E9, 0.0, 2021-12-02 19:31:12.407
8.0, 1561.555957548786, 261.69575949944556, 1002.2426994754933, 2525.545090327505, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724212475E9, 0.0, 2021-12-02 19:31:12.421
8.0, 1525.7052765735425, 279.70337778609246, 1016.0167510122992, 2522.7887840601616, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724212475E9, 0.0, 2021-12-02 19:31:12.421
9.0, 1482.6739876833744, 293.92995721753687, 1031.1820453326218, 2531.4990110569634, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724219732E9, 0.0, 2021-12-02 19:31:12.421
9.0, 1499.7653304808773, 296.22625579033047, 1036.8666932652704, 2540.800142246764, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724219732E9, 0.0, 2021-12-02 19:31:12.421
10.0, 1461.958681828808, 305.89763707574457, 1043.819167282898, 2517.95683331741, 0.0800000037997961, 0.11200000531971455, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072483291E9, 0.0, 2021-12-02 19:31:12.483
10.0, 1432.8622601735406, 306.1407305728644, 1041.3657929119654, 2518.3906617122702, 0.0800000037997961, 0.11200000531971455, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072483291E9, 0.0, 2021-12-02 19:31:12.483
11.0, 1428.8456076211296, 320.6291030012071, 1067.687208800111, 2552.9435974028893, 0.0800000037997961, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724840128E9, 0.0, 2021-12-02 19:31:12.484
11.0, 1415.247331382241, 306.57455896772444, 1044.5334881744348, 2529.5542630800046, 0.0800000037997961, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724840128E9, 0.0, 2021-12-02 19:31:12.484
12.0, 1418.2542109466158, 304.1847628960386, 1039.6603985321708, 2522.519511263352, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724848428E9, 0.0, 2021-12-02 19:31:12.484
12.0, 1403.7957577179186, 306.41748316958547, 1049.5337344151922, 2525.1187417325564, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724848428E9, 0.0, 2021-12-02 19:31:12.484
13.0, 1421.5640224074014, 312.9623080920428, 1051.9048309870996, 2523.48440545192, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724855285E9, 0.0, 2021-12-02 19:31:12.485
13.0, 1389.8683702829294, 307.1430237609893, 1046.508155351039, 2507.200881044846, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724855285E9, 0.0, 2021-12-02 19:31:12.485
14.0, 1410.3443225403316, 324.6794146532193, 1058.8984439042397, 2538.290669376496, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724977694E9, 0.0, 2021-12-02 19:31:12.497
14.0, 1430.685638399329, 328.55021110735834, 1071.8871164503507, 2545.7031510886736, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724977694E9, 0.0, 2021-12-02 19:31:12.497
15.0, 1429.3093552156352, 335.91407412011176, 1070.7576666637324, 2533.555956032593, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724984815E9, 0.0, 2021-12-02 19:31:12.498
15.0, 1423.5162501842715, 312.87629039306194, 1049.9189441106282, 2503.520819488447, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724984815E9, 0.0, 2021-12-02 19:31:12.498
16.0, 1464.5055536986329, 327.35344312153757, 1063.0272934553213, 2505.525405864697, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724991784E9, 0.0, 2021-12-02 19:31:12.499
16.0, 1425.51335676061, 309.2186682363972, 1056.119698237162, 2502.7952788970433, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950724991784E9, 0.0, 2021-12-02 19:31:12.499
17.0, 1456.4011904946528, 318.75915302336216, 1053.3970510694198, 2495.951261978131, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725000162E9, 0.0, 2021-12-02 19:31:12.500
17.0, 1493.00359136099, 328.53899140749127, 1064.5120337377302, 2508.8950557247736, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725000162E9, 0.0, 2021-12-02 19:31:12.500
18.0, 1518.7976813553832, 308.4893877450377, 1044.6195058734156, 2502.653162698727, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725105927E9, 0.0, 2021-12-02 19:31:12.510
18.0, 1494.2190588465892, 316.45911455061287, 1048.9166509225033, 2488.879111161921, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725105927E9, 0.0, 2021-12-02 19:31:12.510
19.0, 1462.1456768265925, 331.6019694712013, 1075.6045770063065, 2499.990353930276, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072525587E9, 0.0, 2021-12-02 19:31:12.525
19.0, 1511.5908941407688, 307.5469329562038, 1052.6864700778387, 2493.8344786032103, 0.04800000227987766, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072525587E9, 0.0, 2021-12-02 19:31:12.525
20.0, 1534.6436374676414, 310.8118656175211, 1042.8692326941527, 2492.633970717434, 0.04800000227987766, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725412629E9, 0.0, 2021-12-02 19:31:12.541
20.0, 1533.6263846796937, 306.447402369231, 1037.509956057649, 2483.8788649211638, 0.04800000227987766, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725412629E9, 0.0, 2021-12-02 19:31:12.541
21.0, 1573.2842838098295, 327.46938002016395, 1045.9808294572867, 2495.8615043791942, 0.04800000227987766, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725420263E9, 0.0, 2021-12-02 19:31:12.542
21.0, 1562.5171118373983, 321.01805259659886, 1044.8663392704912, 2499.5228664358146, 0.04800000227987766, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725420263E9, 0.0, 2021-12-02 19:31:12.542
22.0, 1572.820536215324, 325.3039779458195, 1056.736781729851, 2484.8699384094216, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072555642E9, 0.0, 2021-12-02 19:31:12.555
22.0, 1563.882175321225, 323.2732122698799, 1044.9112180699594, 2495.9063831786625, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072555642E9, 0.0, 2021-12-02 19:31:12.555
23.0, 1561.7018136470579, 302.0978987207636, 1028.7735497611575, 2470.718156977091, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725713663E9, 0.0, 2021-12-02 19:31:12.571
23.0, 1595.469370346982, 319.6716886125505, 1039.4472242346965, 2475.1873374241404, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725713663E9, 0.0, 2021-12-02 19:31:12.571
24.0, 1606.240282219369, 327.66385481785983, 1057.8437921167351, 2497.1742092636414, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725719724E9, 0.0, 2021-12-02 19:31:12.571
24.0, 1590.4130256068893, 310.2247013244778, 1049.5374743151478, 2461.8209349825047, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725719724E9, 0.0, 2021-12-02 19:31:12.571
25.0, 1589.1601591217332, 317.3679102398455, 1035.0715412865393, 2474.6338322306983, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725857005E9, 0.0, 2021-12-02 19:31:12.585
25.0, 1570.4270002436824, 304.01646739803255, 1044.4549502753653, 2482.2407887405716, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950725857005E9, 0.0, 2021-12-02 19:31:12.585
26.0, 1616.6297242962755, 328.13134231232107, 1058.6703100069426, 2474.446837232914, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726012452E9, 0.0, 2021-12-02 19:31:12.601
26.0, 1600.5631140866317, 305.4862480806187, 1037.9363046525978, 2458.5036437218077, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726012452E9, 0.0, 2021-12-02 19:31:12.601
27.0, 1645.3596357558854, 323.7481795642525, 1047.1177590438165, 2462.651192772668, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072602014E9, 0.0, 2021-12-02 19:31:12.602
27.0, 1619.1765961661004, 332.8585758563131, 1046.280021453742, 2468.451777603943, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072602014E9, 0.0, 2021-12-02 19:31:12.602
28.0, 1577.4056535609998, 258.011958043091, 1053.6588440663181, 2468.9604039979167, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726156378E9, 0.0, 2021-12-02 19:31:12.615
28.0, 1626.3759035808034, 307.02334696240723, 1024.20713191526, 2452.4038668940775, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726156378E9, 0.0, 2021-12-02 19:31:12.615
29.0, 1638.6913941348903, 297.2622080780566, 1056.1309179370292, 2452.134594097268, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726312947E9, 0.0, 2021-12-02 19:31:12.631
29.0, 1610.533687368501, 267.937652525492, 1025.7330110971816, 2444.292023890186, 0.06400000303983688, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726312947E9, 0.0, 2021-12-02 19:31:12.631
30.0, 1680.4024983406998, 316.2347205532715, 1027.9021530714817, 2450.8256291127764, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072631987E9, 0.0, 2021-12-02 19:31:12.631
30.0, 1666.8266615015455, 294.41988411173224, 1038.306554748211, 2451.431492905598, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072631987E9, 0.0, 2021-12-02 19:31:12.631
31.0, 1656.1866461276077, 309.1550899371505, 1045.3824454643764, 2452.781596789602, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726456175E9, 0.0, 2021-12-02 19:31:12.645
31.0, 1642.2966576921754, 276.59178102295846, 1043.927624381613, 2460.7363639953546, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726456175E9, 0.0, 2021-12-02 19:31:12.645
32.0, 1666.2020982089452, 295.27258130162954, 1032.9846771112643, 2438.1585879628547, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072661262E9, 0.0, 2021-12-02 19:31:12.661
32.0, 1676.7523559839465, 321.91936848592013, 1060.1438305894844, 2461.514263186138, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072661262E9, 0.0, 2021-12-02 19:31:12.661
33.0, 1709.0837911008857, 277.92692530713975, 1030.2919491431676, 2449.939272823278, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726620471E9, 0.0, 2021-12-02 19:31:12.662
33.0, 1731.9644990297966, 292.445216935128, 1029.6150272511877, 2440.5147249349393, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726620471E9, 0.0, 2021-12-02 19:31:12.662
34.0, 1727.6710938806646, 281.7565828617662, 1035.471710581798, 2436.1203424870037, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072675652E9, 0.0, 2021-12-02 19:31:12.675
34.0, 1746.4042527587153, 286.6184528041631, 1039.1667317380197, 2456.304582547862, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072675652E9, 0.0, 2021-12-02 19:31:12.675
35.0, 1751.2773424009793, 291.12129235081375, 1034.4170587942936, 2449.984151622746, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726912966E9, 0.0, 2021-12-02 19:31:12.691
35.0, 1748.0647683390416, 295.01452820468694, 1035.4679706818424, 2458.488684121985, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726912966E9, 0.0, 2021-12-02 19:31:12.691
36.0, 1797.4538871538825, 299.60338545031846, 1037.704430855345, 2468.3844594047405, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726920118E9, 0.0, 2021-12-02 19:31:12.692
36.0, 1804.2006666739471, 277.2350438153371, 1018.720698680263, 2465.4299384397455, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950726920118E9, 0.0, 2021-12-02 19:31:12.692
37.0, 1774.341305427719, 297.56513997446746, 1034.9593442878686, 2465.5608349381946, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727056313E9, 0.0, 2021-12-02 19:31:12.705
37.0, 1781.9108629380353, 275.4959903359413, 1015.2874705209397, 2467.1054136198945, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727056313E9, 0.0, 2021-12-02 19:31:12.705
38.0, 1771.0614131665789, 273.55498225893825, 1032.457351217512, 2419.0177799896337, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727213411E9, 0.0, 2021-12-02 19:31:12.721
38.0, 1735.6445605861954, 273.26700996235013, 1006.8240769212134, 2430.1776414574124, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727213411E9, 0.0, 2021-12-02 19:31:12.721
39.0, 1745.4991969694383, 282.22033045627177, 1017.0639229998924, 2430.577810752671, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072721983E9, 0.0, 2021-12-02 19:31:12.721
39.0, 1778.0625058836304, 302.57286601513624, 1035.015442787204, 2463.133639866952, 0.06400000303983688, 0.04800000227987766, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072721983E9, 0.0, 2021-12-02 19:31:12.721
40.0, 1765.3206667345949, 293.6606844207272, 1037.7343500549905, 2442.9980185055174, 0.06400000303983688, 0.04800000227987766, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727356224E9, 0.0, 2021-12-02 19:31:12.735
40.0, 1781.3049991452135, 294.8537125065923, 1053.6102253668942, 2453.8175490773283, 0.06400000303983688, 0.04800000227987766, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727356224E9, 0.0, 2021-12-02 19:31:12.735
41.0, 1782.3072923333384, 303.4854016043246, 1038.474850246217, 2444.968945782166, 0.06400000303983688, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727517588E9, 0.0, 2021-12-02 19:31:12.751
41.0, 1788.691301557701, 276.7226775214076, 1019.0872088759206, 2421.7703463570215, 0.06400000303983688, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727517588E9, 0.0, 2021-12-02 19:31:12.751
42.0, 1826.886899805162, 324.73551315255463, 1061.1162045779638, 2440.709199732635, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727662394E9, 0.0, 2021-12-02 19:31:12.766
42.0, 1805.6554877567105, 287.3178140958771, 1030.5088633405976, 2437.059057375882, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727662394E9, 0.0, 2021-12-02 19:31:12.766
43.0, 1818.9059532997198, 280.11102688126266, 1013.9186671371572, 2441.143028127495, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727669916E9, 0.0, 2021-12-02 19:31:12.766
43.0, 1830.2004511659034, 296.93309688195586, 1039.9072319292463, 2443.603882298339, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727669916E9, 0.0, 2021-12-02 19:31:12.766
44.0, 1843.9371037031524, 309.0653323382139, 1046.0331880566664, 2456.001650651451, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727812395E9, 0.0, 2021-12-02 19:31:12.781
44.0, 1809.5711630103178, 270.91835279017687, 1018.0288171884604, 2430.7573259505443, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727812395E9, 0.0, 2021-12-02 19:31:12.781
45.0, 1805.5208513583057, 280.82160787284374, 1020.325115761254, 2436.7598653794266, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072781983E9, 0.0, 2021-12-02 19:31:12.781
45.0, 1846.0351875782944, 293.8888183180243, 1030.1610526447184, 2452.44500579359, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072781983E9, 0.0, 2021-12-02 19:31:12.781
46.0, 1841.1396585362963, 289.38597877137363, 1031.8253081250004, 2455.9866910516284, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727956417E9, 0.0, 2021-12-02 19:31:12.795
46.0, 1819.3547412944026, 266.4192531434819, 1011.8131034621038, 2420.8503309679218, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6384950727956417E9, 0.0, 2021-12-02 19:31:12.795
47.0, 1815.8504550359212, 277.104147316888, 1013.9972050362267, 2425.585044311825, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072811386E9, 0.0, 2021-12-02 19:31:12.811
47.0, 1834.7481695120223, 290.8146205544472, 1037.8315874538384, 2455.8632743530907, 0.0800000037997961, 0.06400000303983688, 0.8800000417977571, 0.0, 0.0, 0.0, 0.0, 0.0, 1.638495072811386E9, 0.0, 2021-12-02 19:31:12.811
