%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, -18.792997360229492, 73.75643920898438, -1033.74755859375, -318.4618225097656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015041962E9, 2020-10-11 17:40:01.504
1.0, -198.88040161132812, -139.41412353515625, -1188.0184326171875, -381.0808410644531, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015169945E9, 2020-10-11 17:40:01.516
1.0, -68.04000091552734, 10.918638229370117, -1068.1173095703125, -457.02325439453125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015169945E9, 2020-10-11 17:40:01.516
2.0, 54.5614013671875, 149.10794067382812, -957.075927734375, -640.1773681640625, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015335753E9, 2020-10-11 17:40:01.533
2.0, 280.9842834472656, 353.1811828613281, -1200.8837890625, -823.2660522460938, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015335753E9, 2020-10-11 17:40:01.533
3.0, 343.38079833984375, 411.96868896484375, -1155.5, -773.5908203125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015343227E9, 2020-10-11 17:40:01.534
3.0, 512.5888061523438, 607.1802368164062, -995.1144409179688, -772.8671264648438, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015343227E9, 2020-10-11 17:40:01.534
4.0, 346.28668212890625, 425.9820861816406, -1146.54296875, -979.195556640625, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456001546635E9, 2020-10-11 17:40:01.546
4.0, 281.6387634277344, 351.793701171875, -1200.19189453125, -1078.4151611328125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456001546635E9, 2020-10-11 17:40:01.546
5.0, 454.15289306640625, 540.2584838867188, -1045.44970703125, -1177.5897216796875, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015627005E9, 2020-10-11 17:40:01.562
5.0, 436.3397521972656, 521.2859497070312, -1066.2137451171875, -1320.37353515625, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015627005E9, 2020-10-11 17:40:01.562
6.0, 251.91778564453125, 311.8478088378906, -1238.630615234375, -1384.6456298828125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015634904E9, 2020-10-11 17:40:01.563
6.0, 383.6595153808594, 458.7473449707031, -1112.023681640625, -1464.843994140625, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015634904E9, 2020-10-11 17:40:01.563
7.0, 503.8486633300781, 599.45361328125, -998.4953002929688, -1650.0625, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015766733E9, 2020-10-11 17:40:01.576
7.0, 272.7527770996094, 832.2455444335938, -1217.6907958984375, -1809.458984375, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015766733E9, 2020-10-11 17:40:01.576
8.0, 340.95733642578125, 899.021484375, -1156.02734375, -1754.5740966796875, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456001592405E9, 2020-10-11 17:40:01.592
8.0, 515.8687133789062, 1098.0477294921875, -991.9318237304688, -1760.7523193359375, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456001592405E9, 2020-10-11 17:40:01.592
9.0, 340.40008544921875, 903.7113037109375, -1150.4736328125, -1954.0845947265625, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015934467E9, 2020-10-11 17:40:01.593
9.0, 284.4175109863281, 829.7510375976562, -1208.5579833984375, -2075.380859375, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560015934467E9, 2020-10-11 17:40:01.593
10.0, 467.3883972167969, 1044.8438720703125, -1031.8702392578125, -2145.82177734375, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456001606573E9, 2020-10-11 17:40:01.606
