%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
2.0, 1.3912427835166454, 11.324417065829039, 0.19073489774018526, -3.9680338529869914, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336032927343E9, 0.0, 2022-03-26 18:07:12.927
2.0, 2.1915813740342855, 6.885155818425119, 0.9499345887452364, -12.48004615213722, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336032927343E9, 0.0, 2022-03-26 18:07:12.927
3.0, 5.62106963340193, 14.286417830735445, 1.1481492863968015, 6.604663321748376, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360329417496E9, 0.0, 2022-03-26 18:07:12.941
3.0, 11.197260467335582, 26.92727968096733, 12.308010754175484, 22.016791039146483, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360329417496E9, 0.0, 2022-03-26 18:07:12.941
4.0, 4.050311652012169, 15.599122715182602, 2.857283566147089, 17.128741797059774, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360329425228E9, 0.0, 2022-03-26 18:07:12.942
4.0, -3.298591760918498, 20.778884153813124, -1.3426240840926766, 6.3391304248943925, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360329425228E9, 0.0, 2022-03-26 18:07:12.942
5.0, 3.6351827569305897, 25.40140049904585, 10.251065778546035, 15.023178122006357, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336032956172E9, 0.0, 2022-03-26 18:07:12.956
5.0, 4.959107341244817, 23.430473222397268, 5.905302030034363, 18.07493648584932, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336032956172E9, 0.0, 2022-03-26 18:07:12.956
6.0, -1.933528277091682, 24.9002539049834, 3.335990760475397, -8.972019993700087, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360329717364E9, 0.0, 2022-03-26 18:07:12.971
6.0, 17.944039987400174, 33.81617539934814, 3.3920892598107457, 4.83943054266274, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360329717364E9, 0.0, 2022-03-26 18:07:12.971
7.0, 25.195706001482904, 24.690819507464767, 6.5784840220585465, 16.96418619900942, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360329724867E9, 0.0, 2022-03-26 18:07:12.972
7.0, 14.86984222382307, 12.85403614770621, 1.1743285860866308, 6.264332425780594, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360329724867E9, 0.0, 2022-03-26 18:07:12.972
8.0, 6.7430396201089025, 16.373282006010413, 5.688387832604349, 11.919061158783734, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64833603298621E9, 0.0, 2022-03-26 18:07:12.986
8.0, 8.968280093744397, 21.822316241450608, 9.27121199015528, 10.45302037615329, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64833603298621E9, 0.0, 2022-03-26 18:07:12.986
9.0, 3.6875413563102484, 13.418761041015387, -3.2237937618047, 13.347702941857278, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360330181377E9, 0.0, 2022-03-26 18:07:13.018
9.0, 9.155275091528893, 17.790704089216888, 2.1878414740785956, 4.5664178458973765, -0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360330181377E9, 0.0, 2022-03-26 18:07:13.018
10.0, -2.053205075673759, 19.36146207060665, 4.674874944612384, 1.3127048844471574, -0.17600000835955143, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336033018904E9, 0.0, 2022-03-26 18:07:13.018
10.0, 4.682354744523764, 19.3427625708282, 5.142362439073622, 21.848495541140437, -0.17600000835955143, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336033018904E9, 0.0, 2022-03-26 18:07:13.018
11.0, 10.385702176950872, 13.220546343363822, 5.995059628970921, 10.89058867096901, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360330197308E9, 0.0, 2022-03-26 18:07:13.019
11.0, -7.924848006106913, 5.688387832604349, -9.959353582002223, -13.411281241104007, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360330197308E9, 0.0, 2022-03-26 18:07:13.019
12.0, 8.998199293389916, 12.139715256169438, -7.23670641425997, 11.578730262815952, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360330203907E9, 0.0, 2022-03-26 18:07:13.020
12.0, -3.4444478591904044, 22.323462835513055, 6.84027701895684, 14.09942283295095, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360330203907E9, 0.0, 2022-03-26 18:07:13.020
13.0, 17.095082697458565, 18.632181579247117, 2.610450169071555, -1.8063716785982251, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360330311327E9, 0.0, 2022-03-26 18:07:13.031
13.0, 13.774051536805928, 18.92763367574662, 1.0135128879919648, -5.62480953335762, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6483360330311327E9, 0.0, 2022-03-26 18:07:13.031
14.0, 8.108103103935719, 15.154074620455503, 3.7548595555126667, 15.786117712967098, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336033046062E9, 0.0, 2022-03-26 18:07:13.046
14.0, 8.803724495694041, 14.035844533704221, -2.1167833749204874, 0.9611542886123061, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336033046062E9, 0.0, 2022-03-26 18:07:13.046
15.0, 12.760538648813963, 25.4200999988243, -5.845463630743325, 7.2628857139497995, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336033061816E9, 0.0, 2022-03-26 18:07:13.061
15.0, 4.4093420477584, 14.413574429228902, -4.977806841023266, 3.945594453252852, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336033061816E9, 0.0, 2022-03-26 18:07:13.061
16.0, 5.751966131851077, 7.408741812221706, -2.501993070356548, -7.124509415589273, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336033062496E9, 0.0, 2022-03-26 18:07:13.062
16.0, 6.152135427109897, 5.3742362363263965, -12.255652154795825, 7.2628857139497995, -0.17600000835955143, 0.20800000987946987, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 1.648336033062496E9, 0.0, 2022-03-26 18:07:13.062
