%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
2.0, -2.647849168628454, 6.02497882861644, -8.770065396092832, -22.256144636310637, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672833869236E9, 0.0, 2022-04-22 17:41:23.386
2.0, 16.02921121008694, 0.6731819920241833, 0.5535051934421062, 10.87562907114625, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672833869236E9, 0.0, 2022-04-22 17:41:23.386
3.0, 15.374728717841208, -1.61189688090235, 3.9642939530313015, -1.9896267764270306, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834008136E9, 0.0, 2022-04-22 17:41:23.400
3.0, 14.170480932109058, -5.882862630300224, -6.963693717494607, 1.8849095776677132, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834008136E9, 0.0, 2022-04-22 17:41:23.400
4.0, 12.577283550985157, -11.623609062284231, -11.092543268576264, -1.690434779971838, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834014883E9, 0.0, 2022-04-22 17:41:23.401
4.0, -5.392935736104846, -7.861269706860185, -17.985178886912763, 1.9784070765599608, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834014883E9, 0.0, 2022-04-22 17:41:23.401
5.0, -3.8520969543606043, 1.7914120787754655, -5.299438237212598, 4.095190451480448, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834150016E9, 0.0, 2022-04-22 17:41:23.415
5.0, 0.12341669853776693, 6.791658319532871, 6.496206223033369, 12.0424778573215, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834150016E9, 0.0, 2022-04-22 17:41:23.415
6.0, -4.472920347005129, 5.62480953335762, -0.605863792821765, -2.124263174831867, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834307923E9, 0.0, 2022-04-22 17:41:23.430
6.0, 5.931481329724193, 1.451081182807684, -14.87358212377876, -11.717106561176479, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834307923E9, 0.0, 2022-04-22 17:41:23.430
7.0, 28.10534816700965, 5.703347432427108, 2.0681646754965186, 12.008818757720292, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.650667283431491E9, 0.0, 2022-04-22 17:41:23.431
7.0, 17.801923789083958, 2.2327202735468745, 6.757999219931662, 3.4481877591460943, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.650667283431491E9, 0.0, 2022-04-22 17:41:23.431
8.0, 13.875028835609555, 2.8460638662800193, 0.03739899955689907, 8.88226239476353, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834450805E9, 0.0, 2022-04-22 17:41:23.445
8.0, 2.80866486672312, -1.043432087637484, -1.488480182364583, -20.745225054211915, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834450805E9, 0.0, 2022-04-22 17:41:23.445
9.0, 9.480646387673914, -1.9522277768701315, -0.3814697954803705, 2.3972758715972304, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834607556E9, 0.0, 2022-04-22 17:41:23.460
9.0, 14.813743724487722, -8.598029998131096, -1.249126585200429, -0.7367602912709117, 0.4800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834607556E9, 0.0, 2022-04-22 17:41:23.460
10.0, 23.879261217080057, -1.7053943797945976, 4.543978446163237, -9.151535191573203, 0.4800000227987766, 0.0, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.650667283461446E9, 0.0, 2022-04-22 17:41:23.461
10.0, 26.94971908070147, 6.44010772369802, 11.934020758606493, -11.922801058739424, 0.4800000227987766, 0.0, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.650667283461446E9, 0.0, 2022-04-22 17:41:23.461
11.0, 33.53194300271571, 6.694420920684934, 11.803124260157347, 5.359276636503637, 0.4800000227987766, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834750369E9, 0.0, 2022-04-22 17:41:23.475
11.0, 24.54870330914855, -7.408741812221706, -3.3621700601652265, 1.888649477623403, 0.4800000227987766, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834750369E9, 0.0, 2022-04-22 17:41:23.475
12.0, 15.445786816999316, -8.384855700656772, 1.3538437839597464, 4.181208150461316, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834907548E9, 0.0, 2022-04-22 17:41:23.490
12.0, 21.055636750534177, -6.114736427552998, 0.28049249667674303, 3.867056554183364, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672834907548E9, 0.0, 2022-04-22 17:41:23.490
13.0, 29.79952284693718, -9.23755289055407, 0.564724893309176, 10.011712181381881, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.650667283491523E9, 0.0, 2022-04-22 17:41:23.491
13.0, 41.92053860332817, 4.495359746739268, 15.569203515537083, 31.553535926155746, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.650667283491523E9, 0.0, 2022-04-22 17:41:23.491
14.0, 23.052743326872587, -4.663655244745314, 4.873089642263949, 5.037645240314305, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835051484E9, 0.0, 2022-04-22 17:41:23.505
14.0, 34.803508987650275, -3.6838014563545585, 9.084216992370784, 11.526371663436294, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835051484E9, 0.0, 2022-04-22 17:41:23.505
15.0, 26.826302382163703, 5.045125040225685, 22.52541743312031, -32.21175831835717, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835208516E9, 0.0, 2022-04-22 17:41:23.520
15.0, 34.19390529487282, -1.8624701779335737, 14.52203152794391, 12.390288553200662, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835208516E9, 0.0, 2022-04-22 17:41:23.520
16.0, 36.55378216691315, 2.9919199645519257, 7.573297410272062, 17.69346669036895, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.650667283521424E9, 0.0, 2022-04-22 17:41:23.521
16.0, 39.3886263333261, 5.673428232781589, 5.946440929546952, 20.404894158244133, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.650667283521424E9, 0.0, 2022-04-22 17:41:23.521
17.0, 35.985317373648286, -0.17577529791742563, -6.795398219488561, 13.725432837381959, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835350077E9, 0.0, 2022-04-22 17:41:23.535
17.0, 33.39356670435518, -4.992766440846026, -4.136329350993037, 17.117522097192705, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835350077E9, 0.0, 2022-04-22 17:41:23.535
18.0, 21.32116964738816, -5.325617536902428, -7.117029615677893, 4.738453243859112, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835506897E9, 0.0, 2022-04-22 17:41:23.550
18.0, 25.532296997494996, 5.684647932648659, -12.4501269524917, -1.9148287773132324, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835506897E9, 0.0, 2022-04-22 17:41:23.550
19.0, 33.53194300271571, 6.144655627198517, -3.8782762540504336, -0.12341669853776693, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835514264E9, 0.0, 2022-04-22 17:41:23.551
19.0, 34.25374369416386, 10.314644077792764, -6.148395527154207, -2.9208618653938174, 0.4640000220388174, 0.8640000410377979, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835514264E9, 0.0, 2022-04-22 17:41:23.551
20.0, 35.32709498144686, 16.021731410175562, -0.14585609827190638, 8.093143504112959, 0.4640000220388174, 0.8640000410377979, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835650449E9, 0.0, 2022-04-22 17:41:23.565
20.0, 38.5359291434288, 7.322724113240838, 0.2056944975629449, 15.70757981389761, 0.4640000220388174, 0.8640000410377979, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835650449E9, 0.0, 2022-04-22 17:41:23.565
21.0, 26.418653286993504, 21.919553640298545, 5.194721038453281, 18.310550183057785, 0.4640000220388174, 0.8960000425577164, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.650667283580713E9, 0.0, 2022-04-22 17:41:23.580
21.0, -0.9761138884350657, 12.726879549212754, 4.716013844124973, 15.225132719613612, 0.4640000220388174, 0.8960000425577164, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.650667283580713E9, 0.0, 2022-04-22 17:41:23.580
22.0, -9.170234691351652, 22.375821434892714, 3.4706271588802338, 25.00123120378703, 0.4800000227987766, 0.8960000425577164, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835814476E9, 0.0, 2022-04-22 17:41:23.581
22.0, -4.4093420477584, 31.38898032810539, 2.771265867166221, 3.5566448578611016, 0.4800000227987766, 0.8960000425577164, 0.27200001291930676, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6506672835814476E9, 0.0, 2022-04-22 17:41:23.581
